Artist,Song,First Week Charted,Last Week Charted,Lyrics,Peak Position,Weeks on Chart
Hank Williams Jr.,I Can't Take It No Longer,1967-01-16,1967-03-06,"

No I can't take it no longer I'm goin' out of my mind
Baby since you been goner you know I cry all the time
I'm gonna crawl right back to you on my knees
Cryin' take me back please baby please please please
I can't take it no longer I got to be in your arms
You know it really is a wonder I ain't in the funny farm
Cause the sun ain't shinin' and it's nine eight degrees
But I'm shiverin' and shakin' and bout to freeze
I can't take it no longer I can't take it no longer

I ain't gonna pay no attention to my pride
Cause without your sweet love I get to be tired
I can't take it no longer I'm goin' out of my mind
Baby since you been goner you know I cry all the time
I'm gonna crawl right back to you on my knees
Cryin' take me back please baby please please please
I can't take it no longer I can't take it no longer
I can't take it no longer I can't take it no longer

",43,8
Hank Williams Jr.,I'd Rather Be Gone,1969-09-15,1969-12-08,"

I feel like a stranger
In this home I built for you
And I can't understand
This awful change you're going through

And lately I've been watching you
Grow colder every day
And I'd rather be gone than in your way

I'd rather be gone than in your way
I'd rather see someone else here in my place
And if I decide on leaving, my world will end today
But I'd rather be gone than in your way

I'd rather be gone than in your way
I'd rather see someone else here in my place
And if I decide on leaving, my world will end today
But I'd rather be gone than in your way
I'd rather be gone than in your way

",4,13
Hank Williams Jr.,I've Got A Right To Cry,1971-05-03,1971-07-19,"

I've got a right to cry
I've got a right to cry
All day I sing the blues
I'm in my lonely shoes
Could you be so unkind
I nearly lost my mind
I wonder if you care
Ny life is a sad affair
My heart is aching
And it's breaking
And I don't know what to do
Sweetheart, it's all because of you
You know you've done done me wrong
Come on back home where you belong
And in this reason why
I've got a right to cry
Yeah, my heart is aching
I've got a right to cry

",6,12
Hank Williams Jr.,It's All Over But The Crying,1968-09-09,1968-12-09,"

It seems that you've changed in these past few days
For when I try to kiss you you just push me away
Now I don't know what's wrong but I don't see how we can go on
I think your love for me is dying and it's all over but the crying
I called you on the phone just to find out what was wrong
And the thing you said made my suspicions real
You said tonight again you had to stay with this sick friend
But that story I'm not buying cause it's all over but the crying
It's all over but the crying I never would have thought you were lying
It sounded so true when you said I love you
Now I say my goodbying cause it's all over but the crying it's all over but the crying

",3,14
Hank Williams Jr.,Long Gone Lonesome Blues,1964-02-03,1964-06-08,"

I went down to the river to watch the fish swim by
But I got to the river so lonesome I wanted to die, oh Lord
And then I jumped in the river, but the doggone river was dry
She's long gone, and now I'm lonesome blue

I had me a woman who couldn't be true
She made me for my money and she made me blue
A man needs a woman that he can lean on
But my leanin' post is done left and gone
She's long gone, and now I'm lonesome blue

I'm gonna find me a river, one that's cold as ice
And when I find me that river, Lord I'm gonna pay the price, oh Lord
I'm goin' down in it three times, but Lord I'm only comin' up twice
She's long gone, and now I'm lonesome blue

She told me on Sunday she was checkin' me out
Long about Monday she was nowhere about
And here it is Tuesday, ain't had no news
I got them gone but not forgotten blues
She's long gone, and now I'm lonesome blue

",5,19
Hank Williams Jr.,Pride's Not Hard To Swallow,1972-09-25,1972-12-25,"

I wish you'd look who's crawling back to you I never thought I'd live to see today
I swore to you the day I left this time I'd go for good
And I was even proud enough to tell myself I could
But it took a lot of lonely nights to ever change my mind
It took a lot of missing youth and things that I'd left behind
Intending to keep going but the going it got too rough
And pride's not hard to swallow once you chewed it long enough

I know we won't always see eye to eye
But if you'll take me back this time I'll really try
So many things I could have done so much I failed to do
I've never needed anyone as much as I need you
And it took a lot of lonely nights...

",3,14
Hank Williams Jr.,Rainy Night In Georgia,1974-03-25,1974-05-13,"

Hoverin' by my suitcase tryin' to find a warm place to spend the night
A heavy rain a fallin' seems I hear your voice a callin' it's all right
On this rainy night in Georgia, a rainy night in Georgia
I believe it's rainin' all over the world

Neon signs a flashin' taxicabs and buses passin' through the night
The distant moanin' of a train seems to play a sad refrain unto the night
On this rainy night in Georgia, such a rainy night in Georgia
I think it's rainin' all over the world

How many times I have wondered
But it always comes out the same
No matter how I look at or think about it
It's just like some of it's pleasures some of it's pain

I find me a place in a boxcar so I take out my guitar to pass some time
Late at night when it's hard to rest, I hold your picture to my chest and then I'm all right
But it's still a rainy night in Georgia, it's a rainy night in Georgia
I believe it must be rainin' all over this world

All over the world
Rainy night in Georgia

",13,8
Hank Williams Jr.,Standing In The Shadows,1966-05-23,1966-09-26,"

I know that I'm not great, and some say I imitate
Anymore I don't know, I'm just doin' the best I can
After all I'm standin' in the shadows, of a very famous man

Spoken
As I travel around, from town to town
I have a lot of dad's fans and friends come around
They say I know Hank would be proud of you if he were here today
While we're all so glad and we know he would be too
That you're carryin' on his music this way
Yes they say Hank was the all time great
And we know you'll be just as good as your dad
But I just smile and say there'll never be another Hank Williams friends
That's the part that always makes them sad

Yes I know that I'm not great, and some say I imitate
Anymore I don't know, I'm just doin' the best I can
It's hard standin' in the shadows, of a very famous man

Spoken
So many times when I'm on that stage, I feel something go through me
And for a minute I'm in a different world, and that's when it does something to me
The people are a hollerin' and clappin' real loud, while I'm out they're taking my bows
I look up toward the ceiling and I say to myself, listen dad, just listen to that crowd
But as the show goes on, the people clap and holler more, I start to sing another of your great songs
That's the time that I know although you're gone, your music will live on and on and on

",5,19
Hank Williams Jr.,The Last Love Song,1973-11-05,1974-02-11,"

I know it's over cause I don't keep you satisfied anymore
But before you move along let me sing you the last love song
Tomorrow when I'll wake what will take the place
Of smiles on your face and black hair against white lace
And I wonder if I'll be thinking of our early morning love
All the sweet things that you'd say that's brighten up my darkest day
And tomorrow night what do use the chest to take the place of your breast
Breast against my chest oh how I'll miss your tenderness but there's no use to cryin'
Cause love's a grown up game a little pleasure then a lot of pain
First we call each other bad names then what we have was never quite the same
I wish I could find eyes that won't cry lips that won't lie and love that won't die
Hmm hmm hmm hm and a love that won't die

",4,15
Hawkshaw Hawkins,Lonesome 7-7203,1963-02-25,1963-08-26,"

Had our number changed today, although I hated to
But each time the phone would ring
They'ed want to speak to you
And it hurt's to tell them, your not here with me
May be now, oh telephone will let me be

It's not in the book now, so you'd better write it down
Just in case your love for me, should ever come around
You might want to call, and break the news to me
Just call lonesome 7-7203

I keep the telephone be side me all the time
Hoping you might want to call, and say
You've changed your mind
If you do then darling you know, where I'll be
I'm at lonesome 7-7203

Your the only one I'm giving our new number too
So now if the telephone should ring I'll know It's you
If you ever long for love that used to be
Just call lonesome 7-7203
Just call lonesome 7-7203

",1,25
Henson Cargill,None Of My Business,1969-01-27,1969-04-21,"

Little kids sleepin' with rats in their bed well it's none of my business
It's been a long time since they've been fed but it's none of my business
Some more bad news from Vietnam and China's playin' with a great big bomb
I better take a pill to stay dumb cause it's none of my business

People are afraid to walk their own streets but it's none of my business
Cops can even walk on their beat but it's none of my business
I read about a girl I forgot her name she was screamin' for help but nobody came
It seems like kind of a shame but it's none of my business

Ten more billion on a national debt well it's none of my business
People in the slums are a little upset that's none of my business
Kids gripin' out of school lookin' for a thrill learnin' the law's kill or be killed
I better take another pill cause it's none of my business

Now the preacher's sayin' somethin' bout good man vow well it's none of my business
He said we got troubles that we gotta have sow oh it's none of my business
Now I go to church and I meditate I don't even mind when they pass the plate
But they stuff about my fellow man's fate well 's none of my business
(They stuff about my fellow man's fate) Lord it's none of my business

",8,12
Henson Cargill,She Thinks I'm On That Train,1968-08-26,1968-09-23,"

Today the train pulled out of here that stops in my hometown
And the one I love is waiting for won't be there to step down
Right now they're braidin' rope to hang a man who's not to blame
Back home my love is waitin' she thinks I'm on that train

She'll be there if the sun is shinin' she'll be there if it's pourin' rain
She'll be there with little Jimmy a little man with my last name
But the angry town denied the cry of a stranger's alibi
She's just waitin' for the shattered dream she thinks I'm on that train

My cries out for all the unsaid things I'd like to say
The things I should have done will all be left undone today
I never knew until today that time's a precious thing
Back home my love is waitin' she thinks I'm on that train
She'll be there if the sun is shinin'...
She'll be there if the sun is shinin'...

",39,5
Henson Cargill,Skip A Rope,1967-12-18,1968-04-01,"

Skip a rope, skip a rope
Oh, listen to the children while they play
Now ain't it kind of funny what the children say?
Skip a rope

Daddy hates mommy, mommy hates dad
Last night you should'a heard the fight they had
It gave little sister another bad dream
She woke us all up with a terrible scream

Skip a rope, skip a rope
Oh, listen to the children while they play
Now ain't it kind of funny what the children say?
Skip a rope

Cheat on your taxes, don't be a fool
Now what was that they said about a golden rule?
Never mind the rule, just play to win
And hate your neighbor for the shade of his skin

Skip a rope, skip a rope
Oh, listen to the children while they play
Now ain't it kind of funny what the children say?
Skip a rope

Stab 'em in the back that's the name of the game
And mommy, and daddy, are who's to blame

Skip a rope, skip a rope
Just listen to your children while they play
It's really, not, very funny, what the children say
Skip a rope
Skip a rope
Skip a rope
Skip a rope

",1,16
Henson Cargill,This Generation Shall Not Pass,1969-06-09,1969-07-07,"

A cryin' man prays for a peace in his land then raises his arm and closes his hand
To strike the face of the woman he wed children the number one prophet said
This generation shall not pass till all these things will be fulfilled and done
This generation shall not pass before that great day come

The man on the mountain said this last days would bring
Failing up hearts the downfall of kings
Hurt waits in wars and phantoms will spread children the number one prophet said
This generation shall not pass...

When the green leaves cover the big tree of life then understand that summer is nigh
Beware of the world it's blind and it's deaf children the number one prophet said
This generation shall not pass...
This generation shall not pass...

",40,5
Homer And Jethro,The Battle Of Kookamonga,1959-10-19,1959-11-02,"

In nineteen and fifty-nine we took a little hike
With our scout master down to Lake Oneeganite
We took a little pizza and we took some saurkrauts
And we marched along together till we heard the girl scouts

[Chorus:]
We're the boys from Camp Kookamonga
Our mothers sent us here for to study nature's ways
We learned to make sparks by rubbing sticks together
But if we catch the girls then we'll set the woods ablaze

And I was mad because me mother sent me up here ha-ha-ha

Well we crept up to the water and we see the girls a-swimming
There must've been a hundred of them pretty young women
They looked so fine even birds forgot to sing
We lay down in the poison oak and didn't say a thing

[Chorus]
Hey will one of you fellas scratch my back?

Well our counselor said we could take them by surprise
If we didn't say a word till we looked them in the eyes
We kept real still and we had our eyes aglued
We saw how they were dressed they were swimming in the
Well now...

[Chorus]
Well they ran through the briars and they ran through the brambles
They ran through the bushes where a rabbit couldn't go
They ran so fast even we couldn't catch them
And we can even hike all the way to Buffalo

Hey fellas wait for me

Well we ran right after them till everyone was pooped
So we rested for a moment and our forces we regrouped
Then we saw the girls behind some evergreens
Captured by a company of United States Marines

[Chorus]
Aww those big guys get everything

Well they ran through the briars an they ran through the brambles
They ran through the bushes where a rabbit couldn't go
They ran so fast even we couldn't catch them
And we can even hike all the way to Buffalo

[Chorus]
A-rootie-toot-toot a-rootie-toot-toot
Ah we are the boys from the boy scout troop
We don't smoke and we don't chew
And we don't go with the girls that do

",26,3
Hoyt Axton,When The Morning Comes,1974-04-22,1974-05-13,"

Chorus:
(And) When the morning comes and you gotta get up
How you going to find your shoes
In an empty bed with an achin' head
You know its got to give you the blues

I don't know what's going on here
I know things are not all right
If you want me to I'll go dear
If you want I'll stay all night
I came here with my broken heart
Wrapped away with care
And all you do is sit and drink
And stare ---- at your T V

Chorus

You ask me why I came here
But you're the one who phoned
I wasn't very happy
But I did alright a lone
I thought you learned to love me
I guess you never will
The key's lost to the kingdom
And I don't have time to kill

Chorus

Instrumental: Verse

Chorus

So it's goodbye Carolina
So long Tennessee
California's callin'
And Chicago's good to me
My feet are in the stirrups
My pony wants run
Think I'll hit the highway
I guess your not the one

Chorus 2x

",18,4
Jack Blanchard & Misty Morgan,Humphrey The Camel,1970-06-22,1970-09-07,"

Let me tell you bout Humphrey the Camel amblin' across the sands umm
All the Nomads givin' him a great big hand
He's a big ugly Mammal and he's very very hairy
All the Shieks know he's a swinging Dromedary uhhuh oh yeah
Talkin' bout Humphrey the Camel
In the middle of the night by the light of an Arab moon
They say that you can see him stompin' up and down the dunes
He's a big raunchy cat but he swings right along
Groovin' to the beat of a Nashville song uhhuh oh yeah
Talkin' bout Humphrey the Camel

Everybody digs Humphrey the Cammel come see Camel Humphrey the Camel
But he's a body jumper a real hip humper talkin' bout Humphrey the Camel
Down at the Oasis the Arabs were pickin' their dates
They're goin' to a party out at the Sultan's place
There's a camel named Camelia and Humphrey's gonna bring her
One big drink and he's a seven day swinger uhhuh oh yeah
Talkin' bout Humphrey the Camel
(A penny Camel love call uuuh hyeah oh oh)
Everybody digs Humphrey the Cammel...
(Ooouuh hyeah I'd walk a mile for a ouh hyeah pick it Omar hyeah)

",5,12
Jack Blanchard & Misty Morgan,Somewhere In Virginia In The Rain,1971-11-22,1972-01-31,"

I'm callin' from somewhere in Virginia in the rain
I never thought I'd hear your voice again
I heard the windshield wipers callin' out your name
Somewhere in Virginia in the rain
I realized that I'm the one to blame (oh come on)
And I won't make the same mistakes again
My left front window's busted got a patch with cellophane
Somewhere in Virginia in the rain
I know it must be two a.m. bout Lewitt Mountain time
I'm here in telephone booth underneath the lonesome pine
And I've only got three minutes cause I'm down to my last dime
I hope it's not too late to say I'm sorry
Somewhere in Virginia in the rain little country towns all look the same
If I woke you up it's just to let you know somebody loves you
Somewhere in Virginia in the rain somewhere in Virginia in the rain
I'm callin' from somewhere...

",15,11
Jack Blanchard & Misty Morgan,Tennessee Bird Walk,1970-02-09,1970-06-01,"

Take away the trees and the birds
All have to sit upon the ground, uum
Take away their wings and
The birds will have to walk to get around
And take away the bird baths
And dirty birds will soon be ev'rywhere
Take away their feathers and
The birds will walk around in underwear
Take away their chirp and the
Birds will have to whisper when they sing
And take away their common sense and
They'll be headed southward in the spring

[Chorus]
Oh remember my darling
When spring is in the air
And the bald headed birds
Are whispering everywhere
You can see them walking
Southward in their dirty underwear
That's Tennessee Bird walk

How about some trees so the birds
Won't have to sit upon the ground, uum
How about some wings so the
Birds won't have to walk to get around
And how about a bird bath or two
So the birds will all be clean
How about some feathers so their
Underwear no longer can be seen
How about a chirp so the birds
Won't have to whisper when they sing
And how about some common sense so they
Won't be blocking traffic in the spring

[Chorus]

",1,17
Jack Blanchard & Misty Morgan,There Must Be More To Life (Than Growing Old)/Fire Hydrant #79,1971-08-16,1971-10-11,"

Sky full of factory smoke stacks hot cinders paint the snow black
Turn up my callar to the cold
My old boots're wet and dirty missed my bus at 7:30
Ah there must be more to life than growing old
Each day seems like the last one each year just like the past one
As if they're stamped on from the mold
Somehow it seems to be the only change is you and me
There must be more to life than growing old
There must be more to life than growing old
What happened to the dreams we used to hold
We never asked for cities paved with gold there must be more to life than growing old
We never asked for cities paved with gold there must be more to life than growing old
There must be more to life than growing old

",25,9
Jack Blanchard & Misty Morgan,You've Got Your Troubles (I've Got Mine),1970-10-12,1970-11-23,"

I see that worried look upon your face you've got your troubles I've got mine
You've found somebody else to take my place
You've got your troubles and I've got mine
I too have lost my love today all of my dreams have blown away
Now just like you I sit and wonder why you've got your troubles and I've got mine
[ guitar ]
You need some sympathy well so do I you've got your troubles and I've got mine
You used to love me that I know not so very long ago
We were walking we were talking the way that lovers do
I'd have another place another time
I know you've got your troubles honey I've got mine
You've got your troubles I've got mine you've got your troubles I've got mine

",27,7
Jack Greene,All The Time,1967-04-24,1967-08-28,"

All the time yes darling all the time tenderly constantly I'll love you
Every day I'll prove it every way in happiness or in loneliness I'll love you
Other arms may tempt me but don't let that bother you
For even if they tempt me I'll never be untrue
All the time yes darling all the time
Through the years through smiles or tears I'll love you
Other arms may tempt me...

",1,19
Jack Greene,Ever Since My Baby Went Away,1965-12-20,1966-01-31,"

(Ever since my baby went away)
Haven't seen a moonbeam haven't heard a robbin sing ever since my baby went away
Haven't slept one single night wondering if she's all right ever since my baby went away
I'll walk alone till she returns I miss her tender kiss
I cry when I'm alone I'm not brave enough I guess
Wanna kiss that pretty face home has been a lonely place
Ever since my baby went away
[ piano ]
I'll walk alone till she returns...

",37,7
Jack Greene,Statue Of A Fool,1969-05-12,1969-09-01,"

Somewhere there should be for all the world to see
A statue of a fool made of stone
An image of a man who let love slip through his hands
And then just let him stand there all alone

And there on his face, a gold tear should be placed
To honor the million tears he's cried
And the hurt in his eyes would show, so everyone would know
Concealed is a broken heart inside

So, build a statue and oh build it high so that all can see
Then inscribe: The World's Greatest Fool, and name it after me

",1,17
Jack Greene,There Goes My Everything,1966-10-31,1967-03-20,"

There goes my only possesion there goes my everything
I hear footsteps slowly walking as they gently walk across a lonely floor
And a voice is softly saying darling this will be goodbye forever more
There goes my reason for living there goes the one of my dreams
There goes my only possesion there goes my everything

As my mem'ry turns back the pages I can see the happy years we had before
Now the love that kept this old heart beating
Has been shattered by the closing of a door
There goes my reason for living...

",1,21
Jack Greene,Until My Dreams Come True,1968-12-16,1969-03-31,"

I'll keep on dreaming until my dreams come true
Until these arms of mine surround you all the time
I'll keep on dreaming until my dreams come true
Until your heart can see what burns inside of me
I'll keep on dreaming until my dreams come true
Every day I cry a lonely tear a tear of love especially just for you
Until my fantasy becomes reality I'll keep on dreaming until my dreams come true
[ ac.guitar ]
Every day I cry a lonely tear...

",1,15
Jack Greene,You Are My Treasure,1968-02-26,1968-05-20,"

You are my treasure and my darling I possess
The world's greater treasure the treasure of happiness
Your smiles are my pearls and your ruby lips are beyond compare
Your eyes are my diamonds and my gold is the gold in your hair
Earth has its treasure of fabulous wealth untold
And who can measure the treasure the oceans hold
But whether it be underneath the sea or the sky above
There is no treasure like the treasure of your love

There was a time when I thought I could find happiness in silver and gold
And I longed for fame and wordly acclaim
And I've hungered for these things filled my very soul
But then you came along and now I know I was wrong
For in your eyes I can see the greatest treasure in all the world
The treasure of your love for me
Earth has its treasure...

",1,13
Jan Howard,Bad Seed,1966-10-03,1966-12-19,"

Ain't been in Little Rock but two weeks and here I am now
Packing up and disappearing into thin air
Guys in Little Rock are cute but I can't make my heart take root
Cause bad seed won't grow just anywhere
I need lots of sunshine I need lots of raindrops I need to breathe the open air
I hope to beg your pardon your town just ain't my garden
Bad seed won't grow just anywhere
So honey kiss goodbye to your bad seed my love is not the kinda love you need
I could stay here with you but I wouldn't play fair
Cause bad seed won't grow just anywhere
And you're looking at the baddest of the bad seed

Next stop Jacksonville now I don't know but I got the feeling
I might just kinda like it somewhere round there
Hear tell there's fertile land white pearly silver sands
And bad seed won't grow just anywhere
I need lots of sunshine...

",10,12
Jan Howard,"Count Your Blessings, Woman",1968-03-18,1968-05-27,"

Sorry, I have no Count Your Blessings Woman Lyrics,would you please submit Count Your Blessings Woman Lyrics to me? Thank you

",16,11
Jan Howard,Evil On Your Mind,1966-04-18,1966-08-29,"

You say I need the rest why don't I go and see my sister way out west
That's very thoughtful of you dear I'm really touched by all this tenderness
But us women are suspicious things
We know that men aren't born with wings what's making you so kind
Now I'm not smart but I'm not blind I think that you've got evil on your mind
You think that you've been good about as long as muskart blooded human could
We've been together for so long I know another pasture's looking good
Don't think that other men don't look at me that certain way from time to time
Don't think that you're the only one that must conted with evil on your mind
Your mind is in the hare man surrounded by exotic dancing girls
You're hearing pretty music as they run their slender fingers through your curles
Ah dream on baby
I thank you for the flowers and the candy honey that was very kind
For that's your way of telling me you're sorry for the evil on your mind

",5,20
Jan Howard,The One You Slip Around With,1960-01-11,1960-04-04,"

[Verse 1: Jan Howard]
I had the key to heaven when we married
And for a while I brought you happiness
But now your love for me is dead and buried
And every night you share another's kiss

[Chorus: Jan Howard]
And I'd rather be the one you slip around with
Than be the one whose dream of love is gone
Yes I'd rather be the one you spend your time with
Than be the one at home all alone

[Verse 2: Jan Howard]
Deep down inside I know that I should leave you
How many tears must fall before I learn
I think of many ways that I could grieve you
And yet I'm always here when you return

[Chorus: Jan Howard]
But I'd rather be the one you slip around with
Than be the one whose dream of love is gone
Yes I'd rather be the one you spend your time with
Than be the one at home all alone

",13,12
Jean Shepard,A Tear Dropped By,1965-01-04,1965-03-15,"

A tear dropped by a tear dropped by this morning I found it in my eye
Honey it should be there I hadn't planned to cry
But I guess I should know by now no matter how I try
Everytime I think of you a tear drops by
A tear drops by just to ask how things have been
And before I can answer it's ivited all its friends
Soon a crowd has gathered filling both my eyes
Everytime I think of you a tear drops by

A tear drops by just to ask...

",38,11
Jean Shepard,A Woman's Hand,1970-05-04,1970-06-29,"

I'm gonna stay right here beside him cause a woman's place is with her man
So many times a man gets lonesome and that's when he needs a helping hand
A woman's hand though soft and gentle can do so much to help her man
Just holding him each time he needs you the power of love is in a woman's band
It's a woman's hand that makes a man go searching
It's a woman's hand that makes a man stay home
For he can't do either one without a woman
It's a woman's hand that leads him right or wrong
For he can't do either one...

",23,9
Jean Shepard,At The Time,1974-03-11,1974-05-13,"

I told him that I loved him cause I loved him at the time
And I told him that I didn't want any other lips touchin' mine
I whispered love your kisses are sweeter than the wine
But I'd never tasted champagne at the time
At the time I didn't know your name and I'd never seen your face
At the time I'd never lost myself in your tender warm embrace
If you've never had filet mignon peanut butter taste just fine
And that's the way it was when I loved him at the time
When I found you I started hearing pretty music I'd never heard
And quietly when we spoke of love it was like I'd learned a brand new word
I once thought I'd seen everything but till I met you I was blind
And I wonder now was I even born at the time
At the time I didn't know your name and I'd never seen your face
At the time I'd never lost myself in your tender warm embrace
If you've never had a T-bone steak saltine crackers taste just fine
And that's the way it was when I loved him at the time
If you've never been to Paris France Big Spring Texas will suit you fine
And that's the way I was when I loved him at the time

",13,10
Jean Shepard,"Heart, We Did All That We Could",1967-02-13,1967-05-01,"

Well there he goes he hardly knows the heart he's breaking
I talked to him but I don't think he understood
So just forget about the plans that you were making heart we did all that we could
Don't blame these lips these hungry lips were pleading for you
They used all the tender words that they should
And if you break and fall apart I couldn't blame you heart we did all that we could

These misty eyes these tear filled eyes were picture taken
Grading all the memories that they could
They're the only thing you'll have when you're through breakin'
Heart we did all that we could heart we did all that we could

",12,12
Jean Shepard,I Want You Free,1970-08-10,1970-10-26,"

If my words should ever strike you like the rattlin' of chains
And my voice should ever make you long for trains and boats and planes
May I live a million years and never feel your touch again
I want you free I want you only if and when you want me

If you ever get to feeling that you've stayed away too long
And something I have said makes you dread just coming home
May I live a lonely life without a love to call my own
I want you free I want you only if and when you want me
I want you free I want you free unwilling love ain't good enough for me
Though heaven knows I love your lovin' me I want you free I want you free

If you ever cease you love me never think that I won't know
If you ever come to me just cause there's no place else to go
May the next one that you love destroy your spirit and your soul
I want you free I want you only if and when you want me
I want you free...

",22,12
Jean Shepard,I'll Take The Dog,1966-05-09,1966-08-15,"

Well we just left the courthouse this morning
And the judge said we could go our seperate ways
And everything we own must be divided just like the separation papers say
You can keep the curtains and the tables and the chairs
And all those dirty dishes in the sink
Well you can take that golf club and the television set
And that lawnmower that's always on the blink
You can keep all the records and the hi-fi set
You can take that phoney fireplace and the log
Now you keep the car you keep the boat and I'll take the dog
No I'll take the dog oh no I'm gonna take the dog
Well who's gonna bring me my paper who's gonna keep me company
You'll just have to give him up no I ain't a partin' with the pupp
The dog belongs to me
Now hold on Ray you ain't gonna take this dog away from me
I'm the one that feeds him every day
And who always takes care of him when he's sick
Now wait just a minute Jeannie I guess that you forget
Who it was that always took him to the bed
Paid for all of them shots of seven bucks a lick
You can just forget about him I ain't leaving you without him
Then you'll just have to stay I guess that's the only way okay
I'll give back the curtains and the tables and the chairs
And I'll wash the dirty dishes in the sink
And I won't take the golf clubs and the television set
And I'll fix that mower that's always on the blink
We'll both listen to the records on the hi-fi set
By the fireplace with this gas burnin' log
We'll go ridin' in our car and we'll go sailin' in our boat
And we'll both take the dog yes we'll both take the dog
Come on baby (huff huff)

",9,15
Jean Shepard,If Teardrops Were Silver,1966-07-11,1966-11-07,"

If heartache was laughter then I'd be a clown
If loneliness was happiness I could sure spread some round
If hurting was like heaven there'd be no wings like mine
If teardrops were silver oh how I'd shine
If loving you was good for me I'd be the picture of health
And if missing you was riches I'd own the world and all its wealth
And if wanting you was wisdom I'd be the wisest and then
I'd know why I lost you and could win your love again
But hurting's not heaven it's more like someplace else
But hurting is the one thing that I do so well
Yes if heartaches were funny I could laugh all the time
And if teardrops were silver oh how I'd shine if teardrops were silver oh how I'd shine

",10,18
Jean Shepard,Many Happy Hangovers To You,1966-02-28,1966-06-13,"

You're goin' out again tonight and you'll end up gettin' tired
Then when your money's gone you'll come crawlin' home to me
You'll think you're quiet as a mouse as you come stumblin' through the house
And find the note with these parting words from me
Many happy hangovers to you may your life be blessed with more than a few
Oh our love can never be you hold a bottle more than me
Many happy hangovers to you

When tomorrow sun comes up you'll be sicker than a pup
And your blood shot eyes will look around for me
But you'll find yourself alone like the many nights I've known
With only lonely walls for company
Many happy hangovers...

",13,16
Jean Shepard,Second Fiddle (To An Old Guitar),1964-05-25,1964-11-02,"

Once we were so happy you were my very own
Then you bought that guitar and ruined our happy home
You told me that you're gonna pick you're gonna be a star
I'm tired of playin' second fiddle to an old guitar
You gaze at that guitar on your knee in a way that you never look at me
This love affair of yours has gone too far
And I'm tired of playin' second fiddle to an old guitar

You say it wouldn't be long till you'd be Number One
That we'd have lots of money and we'd have lots of fun
Well all you've done is pick and grin and sing all piece so far
I'm tired of playin' second fiddle to an old guitar
You gaze at that guitar on your knee...
I walked and preached and thought of you and tried most everything
If you keep a pickin' an old guitar and I'm a gonna sing (yodel)

",5,24
Jean Shepard,Seven Lonely Days,1969-09-22,1969-11-10,"

Seven lonely days make one lonely week seven lonely nights make one lonely me
Ever since the time you told me we were through
Seven lonely days I've cried and cried for you

Oh my darling I'm crying hoo hoo hoo hoo
There's no use in denying I've cried for you
What's your favorite past time just a making me blue
Last week was the last time I cried for you

Seven hankies blue I filled with my tears seven letters too I filled with my fears
Guess it never paced to make your lover blue
Cause seven lonely days I've cried and cried for you
Oh my darling I'm crying hoo hoo hoo hoo...
Seven lonely days make one lonely week...
Seven lonely days make one lonely week...

",18,8
Jean Shepard,Slippin' Away,1973-06-25,1973-10-01,"

Monday's promise is Tuesday's lie Saturday's party is Sunday's fight
Somethin's wrong with you and I love's gone wrong that used to be right
And I can feel it slippin' away slowly slowly slippin' away
It'll be gone in a few more days if we don't stop this love of ours from slippin' away

Wednesday's kisses are Thursday's frowns we can't live two days in a row
When our world's not upside down here we stand watchin' it go
And I can feel it slippin' away...

Roses are red violets are blue sugar is sweet some of the time
This puzzle's missin' a piece or two we've got the grapes but never the wine
And I can feel it slippin' away...
And I can feel it slippin' away...
And I can feel it slippin' away...

",4,15
Jean Shepard,Someone's Gotta Cry,1965-05-31,1965-07-12,"

Someone's gotta cry when love is over and as you leave it's very plain to see
You're not about to cry for you're in love again
But someone's gotta cry and that leaves me
There's very little left to say the goodbyes have been said
But anytime a true love dies a few tears must be shed
Someone's gotta cry that makes it final and in her arms is where you wanna be
You smile at her she smiles at you you're happy
But someone's gotta cry and that leads me

There's very little left to say...

",30,7
Jean Shepard,Then He Touched Me,1969-12-29,1970-03-30,"

There was a time when I felt I'd never love again for hurt had taken all my love away
My faith was gone and I knew I'd never trust another man
And loneliness was in my life to stay
Not long ago I met a man he was so good to me I never thought of him as one to love
He always seemed to be around when I needed company
He made my world a better place to live
The other day I noticed he was staring at me his eyes looked at me as if to say
I know that you're a woman starved for love and tenderness
You need the love that only I can give
Then he touched me and my world started turnin' once again
When he kissed me my lips started burnin' once again
When he held me my feet just wouldn't touch the ground
Now my world's so bright for there's love all around
Now my world's so bright for there's love all around

",8,14
Jean Shepard,Your Forevers (Don't Last Very Long),1967-06-05,1967-08-07,"

Each time you say you'll love me forever I believe it then something goes wrong
So this time let's use my forever cause your forevers don't last very long
I remember the first time you kissed me you whispered this love's just gotta be
But you were saying the same things to others
I thought forever was meant just for me
Forever to me meant a lifetime with you so where do the others belong
So this time let's use my forever cause your forevers don't last very long

Forever to me meant a lifetime...

",17,10
