countyState,GEOID,lon,lat,P_total,P_white,P_black,P_asian,P_native,P_hawaiian,P_others,P_below_middle_school,P_some_high_school,P_high_school_equivalent,P_some_college,P_bachelor_and_above,P_below_poverty,median_age,gini_index,median_household_income,median_rent_per_income,percent_no_internet,Year,State,CountyID,StateCountyName,AllAgesSAIPEPovertyUniverse,AllAgesinPovertyCount,AllAgesinPovertyCountLB90%,AllAgesinPovertyCountUB90%,90%ConfidenceInterval(AllAgesinPovertyCount),AllAgesinPovertyPercent,AllAgesinPovertyPercentLB90%,AllAgesinPovertyPercentUB90%,90%ConfidenceInterval(AllAgesinPovertyPercent),UnderAge18SAIPEPovertyUniverse,UnderAge18inPovertyCount,UnderAge18inPovertyCountLB90%,UnderAge18inPovertyCountUB90%,90%ConfidenceInterval(UnderAge18inPovertyCount),UnderAge18inPovertyPercent,UnderAge18inPovertyPercentLB90%,UnderAge18inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge18inPovertyPercent),Ages5to17inFamiliesSAIPEPovertyUniverse,Ages5to17inFamiliesinPovertyCount,Ages5to17inFamiliesinPovertyCountLB90%,Ages5to17inFamiliesinPovertyCountUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyCount),Ages5to17inFamiliesinPovertyPercent,Ages5to17inFamiliesinPovertyPercentLB90%,Ages5to17inFamiliesinPovertyPercentUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyPercent),UnderAge5SAIPEPovertyUniverse,UnderAge5inPovertyCount,UnderAge5inPovertyCountLB90%,UnderAge5inPovertyCountUB90%,90%ConfidenceInterval(UnderAge5inPovertyCount),UnderAge5inPovertyPercent,UnderAge5inPovertyPercentLB90%,UnderAge5inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge5inPovertyPercent),MedianHouseholdIncomeinDollars,MedianHouseholdIncomeinDollarsLB90%,MedianHouseholdIncomeinDollarsUB90%,90%ConfidenceInterval(MedianHouseholdIncomeinDollars)
Lapeer County (MI),05000US26087,-83.2243247,43.0886327,88340,84352,1009,509,203,56,522,1150,4652,24180,20907,11095,10064,44.6,0.433,54309,33.7,16.170353848936,2017,26,26087,Lapeer County (MI),86508,7531,6193,8869,"6,193 to 8,869",8.7,7.2,10.2,7.2 to 10.2,18128,2164,1626,2702,"1,626 to 2,702",11.9,8.9,14.9,8.9 to 14.9,13800,1506,1090,1922,"1,090 to 1,922",10.9,7.9,13.9,7.9 to 13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,621","$53,877","$61,365","$53,877 to $61,365"
Lenawee County (MI),05000US26091,-84.0668533,41.8959147,98504,91291,2998,256,702,0,663,1116,4261,25187,21919,15097,11686,42.1,0.4336,51918,26.9,15.4257430983828,2017,26,26091,Lenawee County (MI),93440,9679,8017,11341,"8,017 to 11,341",10.4,8.6,12.2,8.6 to 12.2,20264,2900,2254,3546,"2,254 to 3,546",14.3,11.1,17.5,11.1 to 17.5,14917,2067,1580,2554,"1,580 to 2,554",13.9,10.6,17.2,10.6 to 17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,416","$53,030","$59,802","$53,030 to $59,802"
Livingston County (MI),05000US26093,-83.9117183,42.6025316,188624,182458,1273,1730,291,79,267,1062,4742,36223,43413,44858,10727,43.5,0.4164,78038,26.7,10.8127198496899,2017,26,26093,Livingston County (MI),187963,9991,8590,11392,"8,590 to 11,392",5.3,4.6,6.0,4.6 to 6.0,40577,2537,2034,3040,"2,034 to 3,040",6.3,5.1,7.5,5.1 to 7.5,30917,1789,1414,2164,"1,414 to 2,164",5.8,4.6,7.0,4.6 to 7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$82,076","$78,216","$85,936","$78,216 to $85,936"
Macomb County (MI),05000US26099,-82.9108693,42.6714669,867730,706518,100689,32772,1762,50,4781,15331,37462,189808,208460,151316,93270,41.0,0.429,60143,29.4,12.6934595550102,2017,26,26099,Macomb County (MI),862478,96264,88712,103816,"88,712 to 103,816",11.2,10.3,12.1,10.3 to 12.1,182155,28665,25390,31940,"25,390 to 31,940",15.7,13.9,17.5,13.9 to 17.5,134509,18980,16452,21508,"16,452 to 21,508",14.1,12.2,16.0,12.2 to 16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,475","$58,958","$61,992","$58,958 to $61,992"
Marquette County (MI),05000US26103,-87.5840278,46.6565965,66435,61683,808,649,207,15,283,413,1300,13094,14036,14640,10108,38.4,0.4318,51275,32.7,17.2294942297266,2017,26,26103,Marquette County (MI),62440,10446,9344,11548,"9,344 to 11,548",16.7,14.9,18.5,14.9 to 18.5,11711,2069,1706,2432,"1,706 to 2,432",17.7,14.6,20.8,14.6 to 20.8,8514,1281,1006,1556,"1,006 to 1,556",15,11.8,18.2,11.8 to 18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,472","$46,614","$52,330","$46,614 to $52,330"
Midland County (MI),05000US26111,-84.3792195,43.648378,83462,77534,1235,1738,228,0,403,675,2446,16334,19114,19756,6711,42.6,0.4636,57269,27.2,15.5667374421919,2017,26,26111,Midland County (MI),81945,8792,7393,10191,"7,393 to 10,191",10.7,9,12.4,9.0 to 12.4,17573,2287,1806,2768,"1,806 to 2,768",13,10.3,15.7,10.3 to 15.7,13090,1524,1148,1900,"1,148 to 1,900",11.6,8.7,14.5,8.7 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,290","$56,657","$65,923","$56,657 to $65,923"
Monroe County (MI),05000US26115,-83.4871059,41.916097,149208,140808,4242,952,804,0,514,1152,7040,37166,37585,20139,14320,42.2,0.4146,60799,28.4,14.1404004150436,2017,26,26115,Monroe County (MI),148274,17416,15347,19485,"15,347 to 19,485",11.7,10.3,13.1,10.3 to 13.1,31529,4543,3718,5368,"3,718 to 5,368",14.4,11.8,17,11.8 to 17.0,23653,2891,2246,3536,"2,246 to 3,536",12.2,9.5,14.9,9.5 to 14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,121","$57,174","$65,068","$57,174 to $65,068"
Muskegon County (MI),05000US26121,-86.751892,43.2892579,173408,139261,24450,1128,1249,0,1092,1406,9256,41069,44723,19575,31910,39.1,0.4316,44264,29.8,18.9082629093632,2017,26,26121,Muskegon County (MI),167263,25478,22370,28586,"22,370 to 28,586",15.2,13.3,17.1,13.3 to 17.1,39367,8472,6877,10067,"6,877 to 10,067",21.5,17.4,25.6,17.4 to 25.6,28796,5865,4604,7126,"4,604 to 7,126",20.4,16.0,24.8,16.0 to 24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,885","$46,373","$51,397","$46,373 to $51,397"
Oakland County (MI),05000US26125,-83.3842103,42.6604518,1243970,934642,167411,87646,3016,232,11061,11112,35856,161799,255592,404076,104971,41.0,0.4757,71920,26.4,9.63614578132801,2017,26,26125,Oakland County (MI),1237507,95968,88277,103659,"88,277 to 103,659",7.8,7.2,8.4,7.2 to 8.4,261549,24330,20720,27940,"20,720 to 27,940",9.3,7.9,10.7,7.9 to 10.7,193692,15459,12598,18320,"12,598 to 18,320",8,6.5,9.5,6.5 to 9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$77,558","$76,234","$78,882","$76,234 to $78,882"
Ottawa County (MI),05000US26139,-86.6553423,42.9423461,282250,255093,3439,6244,628,165,7174,3754,7787,53335,52659,55773,25957,35.0,0.4069,64513,26.5,10.2783171521036,2017,26,26139,Ottawa County (MI),277035,22831,19968,25694,"19,968 to 25,694",8.2,7.2,9.2,7.2 to 9.2,67949,5570,4585,6555,"4,585 to 6,555",8.2,6.8,9.6,6.8 to 9.6,50010,3636,2909,4363,"2,909 to 4,363",7.3,5.8,8.8,5.8 to 8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$68,816","$66,419","$71,213","$66,419 to $71,213"
Saginaw County (MI),05000US26145,-84.05541,43.3282667,192326,144965,35768,2503,493,61,2800,1332,10133,43655,44580,29891,32331,41.0,0.4522,45849,31.1,19.4154967258644,2017,26,26145,Saginaw County (MI),185178,32447,28916,35978,"28,916 to 35,978",17.5,15.6,19.4,15.6 to 19.4,40233,9726,7917,11535,"7,917 to 11,535",24.2,19.7,28.7,19.7 to 28.7,29313,6272,4782,7762,"4,782 to 7,762",21.4,16.3,26.5,16.3 to 26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,433","$43,352","$47,514","$43,352 to $47,514"
St. Clair County (MI),05000US26147,-82.6689135,42.9288035,159587,148831,3835,1223,358,0,1247,1675,9658,39983,41221,18456,21899,43.6,0.4293,51864,29.7,16.4522464639698,2017,26,26147,St. Clair County (MI),157361,19533,16568,22498,"16,568 to 22,498",12.4,10.5,14.3,10.5 to 14.3,32727,6076,4909,7243,"4,909 to 7,243",18.6,15.0,22.2,15.0 to 22.2,24877,4145,3270,5020,"3,270 to 5,020",16.7,13.2,20.2,13.2 to 20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,671","$53,610","$59,732","$53,610 to $59,732"
Shiawassee County (MI),05000US26155,-84.1463518,42.9515446,68554,NA,NA,NA,NA,NA,NA,176,2392,17896,19573,7739,7392,41.8,0.4251,53244,27.8,17.7941647964091,2017,26,26155,Shiawassee County (MI),67331,7467,6003,8931,"6,003 to 8,931",11.1,8.9,13.3,8.9 to 13.3,14216,2345,1783,2907,"1,783 to 2,907",16.5,12.5,20.5,12.5 to 20.5,10574,1614,1193,2035,"1,193 to 2,035",15.3,11.3,19.3,11.3 to 19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,055","$49,690","$56,420","$49,690 to $56,420"
Van Buren County (MI),05000US26159,-86.3056965,42.2839861,75223,64948,2312,425,1240,146,2211,1265,4310,17068,17780,10307,12872,40.7,0.477,47917,27.3,22.8039676858574,2017,26,26159,Van Buren County (MI),74393,9501,7854,11148,"7,854 to 11,148",12.8,10.6,15.0,10.6 to 15.0,17280,3126,2397,3855,"2,397 to 3,855",18.1,13.9,22.3,13.9 to 22.3,12701,2031,1483,2579,"1,483 to 2,579",16,11.7,20.3,11.7 to 20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,114","$48,408","$55,820","$48,408 to $55,820"
Washtenaw County (MI),05000US26161,-83.8446336,42.2523272,364709,269158,43375,31232,1789,179,2218,1794,7360,33885,58372,124255,50914,33.5,0.4903,65601,30.7,8.35171581750298,2017,26,26161,Washtenaw County (MI),345314,44394,40607,48181,"40,607 to 48,181",12.9,11.8,14.0,11.8 to 14.0,67658,7687,6109,9265,"6,109 to 9,265",11.4,9.1,13.7,9.1 to 13.7,49558,5030,3870,6190,"3,870 to 6,190",10.1,7.8,12.4,7.8 to 12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$70,509","$67,864","$73,154","$67,864 to $73,154"
Wayne County (MI),05000US26163,-83.2619533,42.2846636,1749366,924131,680630,54230,5458,420,36368,32912,115053,350222,384204,269403,391366,37.8,0.501,43464,33,20.6384153760735,2017,26,26163,Wayne County (MI),1732477,392205,377669,406741,"377,669 to 406,741",22.6,21.8,23.4,21.8 to 23.4,407828,136279,129281,143277,"129,281 to 143,277",33.4,31.7,35.1,31.7 to 35.1,293928,91499,86225,96773,"86,225 to 96,773",31.1,29.3,32.9,29.3 to 32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,182","$44,253","$46,111","$44,253 to $46,111"
Anoka County (MN),05000US27003,-93.2427232,45.2741098,345957,291760,19779,15529,2480,195,5151,3481,9536,68923,87629,63583,22871,38.1,0.396,76533,29.7,10.0294915281039,2017,27,27003,Anoka County (MN),347553,18795,15611,21979,"15,611 to 21,979",5.4,4.5,6.3,4.5 to 6.3,82616,6014,4639,7389,"4,639 to 7,389",7.3,5.6,9,5.6 to 9.0,60617,3924,2901,4947,"2,901 to 4,947",6.5,4.8,8.2,4.8 to 8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$79,097","$76,805","$81,389","$76,805 to $81,389"
Blue Earth County (MN),05000US27013,-94.0640707,44.0382246,66441,NA,NA,NA,NA,NA,NA,387,1480,11077,12410,12501,10188,30.5,0.4353,53869,29.7,11.7647058823529,2017,27,27013,Blue Earth County (MN),63297,10319,9281,11357,"9,281 to 11,357",16.3,14.7,17.9,14.7 to 17.9,13004,1611,1213,2009,"1,213 to 2,009",12.4,9.3,15.5,9.3 to 15.5,9277,1124,832,1416,"832 to 1,416",12.1,9.0,15.2,9.0 to 15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,137","$52,148","$60,126","$52,148 to $60,126"
Carver County (MN),05000US27019,-93.8005751,44.8213808,100262,NA,NA,NA,NA,NA,NA,207,1206,11950,20706,31531,4038,38.0,0.4314,92455,24.1,7.28577642453241,2017,27,27019,Carver County (MN),101113,4046,3217,4875,"3,217 to 4,875",4.0,3.2,4.8,3.2 to 4.8,27371,1075,804,1346,"804 to 1,346",3.9,2.9,4.9,2.9 to 4.9,20652,698,505,891,505 to 891,3.4,2.5,4.3,2.5 to 4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$102,511","$96,741","$108,281","$96,741 to $108,281"
Dakota County (MN),05000US27037,-93.0624813,44.6708928,417486,345463,24024,20140,1195,102,12277,4372,8901,55783,94348,115247,22262,37.6,0.412,78662,28,8.18389509592214,2017,27,27037,Dakota County (MN),418506,24329,21066,27592,"21,066 to 27,592",5.8,5,6.6,5.0 to 6.6,102027,6671,5304,8038,"5,304 to 8,038",6.5,5.2,7.8,5.2 to 7.8,74653,4715,3707,5723,"3,707 to 5,723",6.3,5.0,7.6,5.0 to 7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$81,004","$79,173","$82,835","$79,173 to $82,835"
Hennepin County (MN),05000US27053,-93.4751846,45.0060644,1232483,893871,158741,85906,9923,483,40359,20435,33098,141239,235715,415202,131859,36.3,0.4862,71200,28.3,11.1484461051546,2017,27,27053,Hennepin County (MN),1229261,129217,121569,136865,"121,569 to 136,865",10.5,9.9,11.1,9.9 to 11.1,270376,37144,33470,40818,"33,470 to 40,818",13.7,12.3,15.1,12.3 to 15.1,189888,24725,21838,27612,"21,838 to 27,612",13,11.5,14.5,11.5 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$74,568","$73,148","$75,988","$73,148 to $75,988"
Olmsted County (MN),05000US27109,-92.4067216,44.0034295,153102,129033,9005,8964,900,0,2226,1415,3325,20124,32869,43958,13844,37.4,0.443,72428,30.2,10.3997913848461,2017,27,27109,Olmsted County (MN),152738,12737,10898,14576,"10,898 to 14,576",8.3,7.1,9.5,7.1 to 9.5,37377,3683,2958,4408,"2,958 to 4,408",9.9,8.0,11.8,8.0 to 11.8,26661,2346,1780,2912,"1,780 to 2,912",8.8,6.7,10.9,6.7 to 10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$77,110","$74,030","$80,190","$74,030 to $80,190"
Ramsey County (MN),05000US27123,-93.1001408,45.0152499,540649,358606,59737,76470,3089,209,15811,15252,15834,80089,96992,146659,72994,34.9,0.461,60369,28.8,11.9568081324883,2017,27,27123,Ramsey County (MN),532318,74390,68858,79922,"68,858 to 79,922",14.0,13,15.0,13.0 to 15.0,125394,24554,21675,27433,"21,675 to 27,433",19.6,17.3,21.9,17.3 to 21.9,87480,16363,14007,18719,"14,007 to 18,719",18.7,16.0,21.4,16.0 to 21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,924","$60,520","$63,328","$60,520 to $63,328"
Rice County (MN),05000US27131,-93.2985032,44.3509428,65622,56157,3451,1404,86,0,2872,1351,3145,12397,13548,11417,5285,37.6,0.4123,69135,29.2,15.5143044332824,2017,27,27131,Rice County (MN),58756,6499,5589,7409,"5,589 to 7,409",11.1,9.6,12.6,9.6 to 12.6,14128,1953,1668,2238,"1,668 to 2,238",13.8,11.8,15.8,11.8 to 15.8,10344,1265,1050,1480,"1,050 to 1,480",12.2,10.1,14.3,10.1 to 14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,011","$60,996","$69,026","$60,996 to $69,026"
St. Louis County (MN),05000US27137,-92.4636448,47.5838524,199980,184278,3353,2228,4859,45,938,1021,6454,38594,51528,37201,29101,41.6,0.4483,49825,30.1,18.0990959257955,2017,27,27137,St. Louis County (MN),192112,27827,25275,30379,"25,275 to 30,379",14.5,13.2,15.8,13.2 to 15.8,36935,5368,4384,6352,"4,384 to 6,352",14.5,11.8,17.2,11.8 to 17.2,26772,3509,2820,4198,"2,820 to 4,198",13.1,10.5,15.7,10.5 to 15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,013","$50,273","$55,753","$50,273 to $55,753"
Scott County (MN),05000US27139,-93.534553,44.6519322,143680,119736,4743,8060,681,0,5193,1861,1249,21944,29687,37087,9387,36.7,0.3974,88765,32.6,6.82049049484835,2017,27,27139,Scott County (MN),144108,5759,4446,7072,"4,446 to 7,072",4.0,3.1,4.9,3.1 to 4.9,40062,1891,1377,2405,"1,377 to 2,405",4.7,3.4,6,3.4 to 6.0,29887,1326,942,1710,"942 to 1,710",4.4,3.1,5.7,3.1 to 5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$99,685","$93,060","$106,310","$93,060 to $106,310"
Sherburne County (MN),05000US27141,-93.7750915,45.4431712,93528,86674,2417,791,272,0,1213,326,2003,16808,24757,15564,5986,35.8,0.3586,83675,27.6,8.93456641540508,2017,27,27141,Sherburne County (MN),92129,3931,2860,5002,"2,860 to 5,002",4.3,3.1,5.5,3.1 to 5.5,24633,1335,971,1699,"971 to 1,699",5.4,3.9,6.9,3.9 to 6.9,18145,929,665,1193,"665 to 1,193",5.1,3.6,6.6,3.6 to 6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$87,094","$82,404","$91,784","$82,404 to $91,784"
Stearns County (MN),05000US27145,-94.6104822,45.5552345,155652,138022,8669,3701,222,0,2483,1268,3548,27695,37060,24970,18223,34.4,0.4289,57728,25.3,10.7286552100382,2017,27,27145,Stearns County (MN),150891,16561,14345,18777,"14,345 to 18,777",11.0,9.5,12.5,9.5 to 12.5,35565,4367,3533,5201,"3,533 to 5,201",12.3,10.0,14.6,10.0 to 14.6,25546,2938,2329,3547,"2,329 to 3,547",11.5,9.1,13.9,9.1 to 13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$63,017","$60,911","$65,123","$60,911 to $65,123"
Washington County (MN),05000US27163,-92.890117,45.037929,253117,216807,11366,12637,1002,66,3014,2150,4238,38142,53098,70527,10615,39.1,0.3968,90256,27.4,7.69613785936959,2017,27,27163,Washington County (MN),252555,10617,8743,12491,"8,743 to 12,491",4.2,3.5,4.9,3.5 to 4.9,62445,3037,2337,3737,"2,337 to 3,737",4.9,3.8,6,3.8 to 6.0,46983,1999,1455,2543,"1,455 to 2,543",4.3,3.1,5.5,3.1 to 5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$92,582","$88,667","$96,497","$88,667 to $96,497"
Wright County (MN),05000US27171,-93.9663965,45.1750914,132550,NA,NA,NA,NA,NA,NA,1365,3111,22844,31160,26202,5952,36.6,0.3934,74190,28.7,10.5148094427277,2017,27,27171,Wright County (MN),132939,7204,5978,8430,"5,978 to 8,430",5.4,4.5,6.3,4.5 to 6.3,37106,1914,1452,2376,"1,452 to 2,376",5.2,4.0,6.4,4.0 to 6.4,27622,1329,994,1664,"994 to 1,664",4.8,3.6,6.0,3.6 to 6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$80,805","$75,854","$85,756","$75,854 to $85,756"
Boone County (MO),05000US29019,-92.3107786,38.989657,176594,142618,16256,9021,811,23,2821,1211,3543,22503,31306,46454,29321,30.6,0.4706,52752,28.6,9.86230536834766,2017,29,29019,Boone County (MO),168845,25432,22542,28322,"22,542 to 28,322",15.1,13.4,16.8,13.4 to 16.8,35235,4778,3693,5863,"3,693 to 5,863",13.6,10.5,16.7,10.5 to 16.7,24828,3215,2433,3997,"2,433 to 3,997",12.9,9.8,16.0,9.8 to 16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,179","$49,448","$54,910","$49,448 to $54,910"
Buchanan County (MO),05000US29021,-94.8081728,39.6603695,88938,77933,4572,1054,372,0,1607,1819,4773,20444,18539,13661,16133,37.9,0.4715,48550,26.7,22.5545318065409,2017,29,29021,Buchanan County (MO),84496,13197,10981,15413,"10,981 to 15,413",15.6,13,18.2,13.0 to 18.2,19603,4227,3384,5070,"3,384 to 5,070",21.6,17.3,25.9,17.3 to 25.9,14042,2692,2054,3330,"2,054 to 3,330",19.2,14.7,23.7,14.7 to 23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,516","$43,768","$49,264","$43,768 to $49,264"
Cape Girardeau County (MO),05000US29031,-89.6849079,37.3838819,78913,NA,NA,NA,NA,NA,NA,456,3319,15670,15317,15545,12284,36.0,0.4691,50223,27,12.5136128505309,2017,29,29031,Cape Girardeau County (MO),74208,10828,9179,12477,"9,179 to 12,477",14.6,12.4,16.8,12.4 to 16.8,16459,2916,2245,3587,"2,245 to 3,587",17.7,13.6,21.8,13.6 to 21.8,11950,1906,1423,2389,"1,423 to 2,389",15.9,11.9,19.9,11.9 to 19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,955","$47,567","$56,343","$47,567 to $56,343"
Cass County (MO),05000US29037,-94.3542424,38.6471588,102845,93928,3018,802,129,0,917,761,3092,23397,24977,16813,9171,40.0,0.3959,63420,30.4,14.6217582022933,2017,29,29037,Cass County (MO),102229,9435,7982,10888,"7,982 to 10,888",9.2,7.8,10.6,7.8 to 10.6,24754,3016,2424,3608,"2,424 to 3,608",12.2,9.8,14.6,9.8 to 14.6,18543,1985,1546,2424,"1,546 to 2,424",10.7,8.3,13.1,8.3 to 13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,839","$61,890","$69,788","$61,890 to $69,788"
Christian County (MO),05000US29043,-93.1876139,36.9697388,84401,NA,NA,NA,NA,NA,NA,303,4443,15560,20877,14562,10091,37.3,0.4098,53172,30.2,11.891979301423,2017,29,29043,Christian County (MO),84605,8373,6914,9832,"6,914 to 9,832",9.9,8.2,11.6,8.2 to 11.6,21247,2640,1997,3283,"1,997 to 3,283",12.4,9.4,15.4,9.4 to 15.4,15900,1692,1208,2176,"1,208 to 2,176",10.6,7.6,13.6,7.6 to 13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,931","$55,213","$62,649","$55,213 to $62,649"
Clay County (MO),05000US29047,-94.4215023,39.3155512,239085,204294,15923,6193,534,1184,4577,1492,6509,47246,49776,54652,20861,37.4,0.4087,65430,25.7,7.46996577104633,2017,29,29047,Clay County (MO),239797,17794,14917,20671,"14,917 to 20,671",7.4,6.2,8.6,6.2 to 8.6,57859,5537,4340,6734,"4,340 to 6,734",9.6,7.5,11.7,7.5 to 11.7,42104,3717,2831,4603,"2,831 to 4,603",8.8,6.7,10.9,6.7 to 10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$67,666","$63,775","$71,557","$63,775 to $71,557"
Cole County (MO),05000US29051,-92.2714039,38.5068473,76631,64560,8477,1107,290,39,254,537,2937,15435,14723,17376,7459,39.2,0.401,55303,21.7,20.6801133522254,2017,29,29051,Cole County (MO),71635,8399,6977,9821,"6,977 to 9,821",11.7,9.7,13.7,9.7 to 13.7,16940,2659,2107,3211,"2,107 to 3,211",15.7,12.4,19,12.4 to 19.0,12304,1696,1293,2099,"1,293 to 2,099",13.8,10.5,17.1,10.5 to 17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,315","$51,030","$59,600","$51,030 to $59,600"
Franklin County (MO),05000US29071,-91.0734098,38.4083125,102838,NA,NA,NA,NA,NA,NA,1151,4911,22643,24319,16526,11170,40.9,0.4325,55359,24.1,16.3580940958949,2017,29,29071,Franklin County (MO),101965,10588,8797,12379,"8,797 to 12,379",10.4,8.6,12.2,8.6 to 12.2,23446,3429,2704,4154,"2,704 to 4,154",14.6,11.5,17.7,11.5 to 17.7,17214,2248,1707,2789,"1,707 to 2,789",13.1,10.0,16.2,10.0 to 16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,937","$52,411","$59,463","$52,411 to $59,463"
Greene County (MO),05000US29077,-93.3406409,37.2581957,288690,258094,10029,5704,2188,110,4975,2276,10013,54204,62586,55713,46951,36.0,0.4718,42062,29,14.022376657302,2017,29,29077,Greene County (MO),278004,45036,41031,49041,"41,031 to 49,041",16.2,14.8,17.6,14.8 to 17.6,59028,12197,10378,14016,"10,378 to 14,016",20.7,17.6,23.8,17.6 to 23.8,41554,7860,6471,9249,"6,471 to 9,249",18.9,15.6,22.2,15.6 to 22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,608","$43,279","$47,937","$43,279 to $47,937"
Jackson County (MO),05000US29095,-94.3425074,39.0072333,691801,463423,161932,12585,3089,2433,25949,9918,27962,138405,141523,145605,106061,36.5,0.469,50815,28.2,15.9050760881132,2017,29,29095,Jackson County (MO),687745,94910,86878,102942,"86,878 to 102,942",13.8,12.6,15.0,12.6 to 15.0,161943,33528,29237,37819,"29,237 to 37,819",20.7,18.1,23.3,18.1 to 23.3,115553,23705,20567,26843,"20,567 to 26,843",20.5,17.8,23.2,17.8 to 23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,585","$51,045","$54,125","$51,045 to $54,125"
Jasper County (MO),05000US29097,-94.3388687,37.2008646,119111,107566,2615,1634,2263,139,2123,2421,6841,28050,23002,16349,21358,36.3,0.4517,45786,27.8,15.287557402143,2017,29,29097,Jasper County (MO),117190,19719,16896,22542,"16,896 to 22,542",16.8,14.4,19.2,14.4 to 19.2,29251,7018,5778,8258,"5,778 to 8,258",24,19.8,28.2,19.8 to 28.2,20962,4634,3726,5542,"3,726 to 5,542",22.1,17.8,26.4,17.8 to 26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,611","$43,402","$49,820","$43,402 to $49,820"
Jefferson County (MO),05000US29099,-90.5431382,38.2574144,224226,215622,2229,1882,580,0,365,1621,15788,48600,57655,28690,22710,39.3,0.3806,61559,27.4,12.3934379253528,2017,29,29099,Jefferson County (MO),221031,23704,20842,26566,"20,842 to 26,566",10.7,9.4,12.0,9.4 to 12.0,51146,7183,5980,8386,"5,980 to 8,386",14,11.6,16.4,11.6 to 16.4,37793,4555,3682,5428,"3,682 to 5,428",12.1,9.8,14.4,9.8 to 14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$62,334","$59,340","$65,328","$59,340 to $65,328"
Platte County (MO),05000US29165,-94.7614717,39.3786957,98309,84433,6635,2838,314,73,998,451,2164,13771,20969,28393,5435,38.3,0.4288,77581,25.7,8.66619209575786,2017,29,29165,Platte County (MO),100088,6187,5098,7276,"5,098 to 7,276",6.2,5.1,7.3,5.1 to 7.3,23719,1675,1270,2080,"1,270 to 2,080",7.1,5.4,8.8,5.4 to 8.8,17477,1083,787,1379,"787 to 1,379",6.2,4.5,7.9,4.5 to 7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$75,651","$72,330","$78,972","$72,330 to $78,972"
St. Charles County (MO),05000US29183,-90.6749153,38.7811023,390918,352403,17540,9844,500,0,1809,1160,9518,63575,83715,104005,18592,38.0,0.3873,80644,24.7,9.14761931373645,2017,29,29183,St. Charles County (MO),389124,20661,17319,24003,"17,319 to 24,003",5.3,4.4,6.2,4.4 to 6.2,91789,6146,4973,7319,"4,973 to 7,319",6.7,5.4,8,5.4 to 8.0,68038,3941,3013,4869,"3,013 to 4,869",5.8,4.4,7.2,4.4 to 7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$81,827","$79,119","$84,535","$79,119 to $84,535"
