Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
Theft Of Bicycle,Hi-Thai Restaurant,1/29/2014,2014-0171,1/25/2014,11:00 AM-4:00 PM,Loss: $450.00,Online Report
Theft Of Bicycle,Bike Shop/Porters Pub,1/29/2014,2014-0172,1/29/2014,8:00 PM,Loss: $250.00,Online Report
Theft Of Bicycle Parts,Coast Apartments,1/29/2014,2014-0173,1/29/2014,2:25 AM-3:25 AM,Loss: $200.00,Online Report
Theft Of Bicycle,CMG Bldg,1/29/2014,2014-0174,1/28/2014,9:00 AM-8:00 PM,Loss: $229.00,Online Report
Petty Theft,Center Hall 105,1/30/2014,2014-0175,1/21/2014,12:10 PM-12:15 PM,Loss: $150.00,Online Report
Citizen Contact,Marshall Res Halls,1/24/2014,140124001,1/24/2014,12:08 AM,Smoking,Information Only
Noise Disturbance,The Village West Bldg 2,1/24/2014,140124002,1/24/2014,12:27 AM,Loud party,Will Cooperate
Drunk In Public,The Village West Bldg 7,1/24/2014,140124005,1/24/2014,12:53 AM,Roommates guest intoxicated and refusing to leave,Field Interview
Drunk Driving No Injuries,Scholars Dr South-Marshall,1/24/2014,140124010,1/24/2014,2:20 AM,Possible drunk driver,Unable To Locate
Noise Disturbance,The Village West Bldg 2,1/24/2014,140124012,1/24/2014,2:35 PM,Loud game,Will Cooperate
Security Alarm,Gilman Parking Structure,1/24/2014,140124015,1/24/2014,6:44 AM,,False Alarm
Non Injury Accident,North Torrey Pines Rd /La Jolla Shores Dr,1/24/2014,140124026,1/24/2014,9:00 AM,Parties exchanged information,Information Only
Vandalism,Hubbs Hall,1/24/2014,2014-0126,1/24/2014,11:12 AM,Graffiti,Report Taken
Medical Aid,The Village West Bldg 2,1/24/2014,140124035,1/24/2014,1:20 PM,Subject experiencing shortness of breath and chest pains,Transported To Hospital
Assist Other Agency,Blacks Beach Gate,1/24/2014,140124039,1/24/2014,2:18 PM,Medical aid call need gate opened,Information Only
Non Injury Accident,Green house Lane,1/24/2014,2014-0128,1/24/2014,2:20 PM,Private vehicle vs. UC Davis vehicle,Report Taken
Petty Theft,Science & Engineering Research,1/24/2014,2014-0130,1/24/2014,2:20 PM,Theft of bicycle,Report Taken
Citizen Contact,Blake Hall,1/24/2014,140124044,1/24/2014,4:15 PM,Golf cart hit and broke long board,Information Only
Noise Disturbance,The Village West Bldg 2,1/24/2014,140124045,1/24/2014,4:17 PM,Event music too loud,Referred To Other Agency-Village Res Life
Non Injury Accident Report,Shuttle Trailer,1/24/2014,2014-0131,1/24/2014,4:35 PM,Shuttle vs. cement trash can,Report Taken
Stolen Vehicle,VA Hospital,1/24/2014,2014-0133,1/24/2014,10:15 AM-4:30 PM,,Report Taken
Hit & Run- No Injuries,Lot 602,1/24/2014,2014-0132,1/23/2014-1/24/2014,10:00 PM-12:50 AM,"Vandalism to vehicle, damage: $1,500.00",Report Taken
Drunk In Public,Mesa Verde Hall,1/24/2014,2014-0134,1/24/2014,8:30 PM,3 subjects attempted to take golf cart,Report Taken
Marijuana Contact,Village East 2,1/24/2014,140124058,1/24/2014,9:08 PM,Subjects smoking marijuana,Information Only
Skateboard Stop,Rupertus Wy/Russell Ln,1/24/2014,140124062,1/24/2014,10:05 PM,,Will Cooperate
Security Alarm,Robinson Complex Bldg 3,1/24/2014,140124064,1/24/2014,10:43 PM,,False Alarm
Citizen Flagdown,Gilman Dr/Myers Dr,1/24/2014,140124065,1/24/2014,11:01 PM,Directions needed,Information Only
Illegal Parking,Regents Rd/Miramar St,1/24/2014,140124066,1/24/2014,11:06 PM,,Cited
Suspicious  Person,International Center,1/24/2014,140124068,1/24/2014,11:15 PM,,Field Interview
Welfare Check,Pangea Parking Structure,1/24/2014,140124069,1/24/2014,11:19 PM,Report of female possibly being pulled towards vehicle,Gone On Arrival
Alcohol Contact,Frankfurter Hall,1/24/2014,140124071,1/24/2014,11:24 PM,,Information Only
Citizen Contact,Marshall Res Halls,1/24/2014,140124072,1/24/2014,11:39 PM,2 people on roof,Information Only
Alcohol Contact,Muir Apartments,1/6/2014,140106002,1/6/2014,1:21 AM,,Field Interview
Quiet Hours Contact,Sixth College Apartments,1/6/2014,140106003,1/6/2014,1:24 AM,,Will Cooperate
Alcohol Contact,Muir Apartments,1/6/2014,140106005,1/6/2014,1:53 AM,,Will Cooperate
Fire Alarm,Café Ventanas,1/6/2014,140106008,1/6/2014,6:58 AM,,Checks OK
Animal Call,Gilman Dr/Osler Ln,1/6/2014,140106018,1/6/2014,8:46 AM,Dog running into street,Information Only
Suspicious Person,UCTR 303,1/6/2014,140106027,1/6/2014,9:41 AM,,Gone On Arrival
Fire Alarm,Mesa Day Care,1/6/2014,140106031,1/6/2014,11:27 AM,,Checks OK
Vandalism,Canyonview Pool,1/6/2014,2014-0014,Unknown,Unknown,Chairs and other items thrown over pool covers,Report Taken
Ticket Sign Off,Price Center,1/6/2014,140106033,1/6/2014,11:40 AM,,Information Only
Petty Theft,Bookstore,1/6/2014,2014-0015,1/6/2014,12:07 AM,"Shoplifting, loss: $327.00",Report Taken
"Disturbance, Argument",Pepper Canyon Hall,1/6/2014,2014-0017,1/6/2014,3:21 PM,Student creating disturbance during meeting with staff members,Report Taken
Non Injury Accident Report,Lot 510,1/6/2014,140106047,1/6/2014,4:03 PM,Parties exchanged information,Information Only
Ticket Sign Off,UCSD Police Department,1/6/2014,140106049,1/6/2014,4:24 PM,,Information Only
Ticket Sign Off,UCSD Police Department,1/6/2014,140106050,1/6/2014,4:25 PM,,Information Only
Suspicious Vehicle,Central Plant,1/6/2014,140106051,1/6/2014,4:41 PM,,Information Only
Skateboard Stop,Science & Engineering Research,1/6/2014,140106054,1/6/2014,6:17 PM,,Verbal Warning Issued
Petty Theft,North Mesa Apartments,1/6/2014,2014-0016,1/5/2014-1/6/2014,9:00 PM-8:30 AM,Loss: $635.00,Online Report
Theft Of Bicycle,Warren College,1/6/2014,2014-0019,1/5/2014-1/6/2014,10:15 PM-9:15 AM,Loss: $300.00,Online Report
Possession of Marijuana,Marshall Res Halls,1/11/2014,140111001,1/11/2014,12:10 AM,,Information Only
Alcohol Contact,Brennan Hall,1/11/2014,140111006,1/11/2014,1:03 AM,,Field Interview
Alcohol Contact,Sixth College Apartments,1/11/2014,140111008,1/11/2014,1:08 AM,,Information Only
Citizen Contact,The Village West Building 2,1/11/2014,140111009,1/11/2014,1:10 AM,,Information Only
Alcohol Contact,Justice Lane,1/11/2014,140111013,1/11/2014,1:43 AM,Subject getting into vehicle with companion,Verbal Warning Issued
"Disturbance, Noise",The Village West Building 2,1/11/2014,140111015,1/11/2014,1:52 AM,Talking loudly,Will Cooperate
Quiet Hours Contact,The Village West Building 2,1/11/2014,140111026,1/11/2014,3:38 AM,Loud TV,Will Cooperate
Vandalism to Vehicle,Tamarack Apartments,1/11/2014,2014-0049,1/11/2014,4:10 AM,Estimated Damage:  $1100.00,Report Taken
Suspicious Person,Pepper Canyon Hall,1/11/2014,140111032,1/11/2014,8:37 AM,Subject sleeping,Field Interview
Information Only,UCSD Police Department,1/11/2014,140111039,1/11/2014,11:45 AM,Received threatening calls on campus,Information Only
Missing Person,The Village Building 1,1/11/2014,140111041,1/11/2014,12:37 PM,Subject returned to residence,Checks Ok
Incomplete Wireless Call,Village Place and Market,1/11/2014,140111046,1/11/2014,1:33 PM,Nothing heard,Checks Ok
Skateboard Stop,Russell Lane/Rupertus Way,1/11/2014,140111053,1/11/2014,4:29 PM,,Verbal Warning Issued
Citizen Contact,Center for Molecular Medicine,1/11/2014,140111054,1/11/2014,4:38 PM,Smoking,Verbal Warning Issued
Illegal Parking,Tamarack Apartments,1/11/2014,140111056,1/11/2014,4:58 PM,,Information Only
Medical Aid,Revelle Apartments,1/11/2014,140111059,1/11/2014,5:53 PM,Subject conscious and breathing,Information Only
Citizen Contact,Parking Lot 352,1/11/2014,140111063,1/11/2014,8:49 PM,,Verbal Warning Issued
Citizen Contact,Loading Dock,1/11/2014,140111065,1/11/2014,9:03 PM,,Verbal Warning Issued
Signal Light Malfunction,Villa La Jolla Drive/La Jolla Village Drive,1/11/2014,140111066,1/11/2014,9:15 PM,,Referred to Other Agency - City Shops
Quiet Hours Contact,Sixth College Res Halls,1/11/2014,140111068,1/11/2014,10:06 PM,,Information Only
Quiet Hours Contact,Blake Hall,1/11/2014,140111070,1/11/2014,10:18 PM,,Information Only
Illegal Parking,Parking Lot 113,1/11/2014,140111071,1/11/2014,10:34 PM,,Information Only
Information Only,Sixth College Building 706,1/11/2014,2014-0051,1/11/2014,10:45 PM,Possible violation in regards to quiet hours,Report Taken
Fire Alarm,Sixth College Building 701,1/11/2014,140111074,1/11/2014,11:12 PM,,Information Only
Illegal Parking,Bonner Hall,1/11/2014,140111075,1/11/2014,11:22 PM,,"Closed By Citation, Adult"
Drunk in Public,1 Miramar Building 1,1/11/2014,140111077,1/11/2014,11:35 PM,"Subject on the ground conscious and breathing, release to friend",Field Interview
Security Alarm,Student Services Center,1/29/2014,140129001,1/29/2014,12:42 AM,,False Alarm
Noise Disturbance,The Village West Bldg 6,1/29/2014,140129002,1/29/2014,12:42 AM,Loud music,Will Cooperate
Noise Disturbance,ERC Res Life-Middle Earth,1/29/2014,140129003,1/29/2014,1:52 AM,Loud music,Quiet On Arrival
Hazard Situation,Gilman Information Booth,1/29/2014,140129007,1/29/2014,5:06 AM,"Truck blocking all lanes, no hazard lights on, heavy fog",Information Only
Security Alarm,Mandeville Art Gallery,1/29/2014,140129016,1/29/2014,7:07 AM,,False Alarm
Suspicious Person,Lot 405,1/29/2014,140129020,1/29/2014,7:33 AM,,Checks OK
Medical Aid,Canyon Vista,1/29/2014,140129023,1/29/2014,7:57 AM,Subject complaining of chest and abdomen pain,Courtesy Transported To Student Health
Bicyclist Stop,Library Walk,1/29/2014,140129031,1/29/2014,8:51 AM,,Verbal Warning Issued
Welfare Check,Student Health,1/29/2014,140129041,1/29/2014,10:06 AM,Concerned about student who missed appointment,Information Only
Security Alarm,CAPS Office,1/29/2014,140129042,1/29/2014,10:17 AM,,False Alarm
Petty Theft,North Mesa Apartments,1/29/2014,140129044,1/29/2014,10:37 AM,Will make online report,Information Only
Injury,Pepper Canyon Hall,1/29/2014,2014-0156,1/29/2014,1:17 PM,Subject fell on stairs causing a minor head injury,Transported To Hospital
Grand Theft,Bookstore,1/29/2014,2014-0157,1/29/2014,8:00 AM-1:30 PM,"Petty theft, bicycle, loss: $100.00",Report Taken
Bicyclist Stop,Galbraith Hall,1/29/2014,140129055,1/29/2014,2:29 PM,,Verbal Warning Issued
Citizen Contact,Biomedical Sciences Bldg,1/29/2014,140129057,1/29/2014,3:15 PM,"Suspicious person(s), filming and asking questions",Information Only
Welfare Check,Villa La Jolla Dr/Gilman Dr,1/29/2014,140129059,1/29/2014,4:24 PM,Subject lying down on the hill,Field Interview
Bicyclist Stop,Voigt Dr/Lot 701,1/29/2014,140129063,1/29/2014,6:05 PM,,Verbal Warning Issued
Medical Aid,Muir Commons-Pines,1/29/2014,140129068,1/29/2014,6:55 PM,Subject having an allergic reaction,Transported To Hospital
Domestic Violence Disturbance,South Mesa Apartments,1/29/2014,140129072,1/29/2014,10:59 PM,Male & female arguing loudly,Checks OK
Nosie Disturbance,Brennan Hall,1/29/2014,140129073,1/29/2014,11:17 PM,People yelling and talking loudly on balcony,Will Cooperate
Citizen Contact,Marshall Apartments West,1/29/2014,140129074,1/29/2014,11:23 PM,Smoke detector covered,Information Only
Citizen Flagdown,South Mesa,1/29/2014,140129075,1/29/2014,11:26 PM,Lost person,Reunited With Family
Unknown Trouble,The Village West Bldg 1,1/29/2014,140129076,1/29/2014,11:32 PM,Report of female screaming loudly,Gone On Arrival
Security Alarm,Deans Office,1/29/2014,140129078,1/29/2014,11:59 PM,,False Alarm
Petty Theft,Mesa Housing Laundry Room,1/28/2014,2014-0159,1/22/2014-1/23/2014,5:30 PM-10:00 AM,Loss: $219.00,Online Report
Citizen Contact,Village East 1,1/1/2014,140101001,1/1/2014,12:25 AM,Smoking & drinking,Information Only
Assist Other Agency,SIO Pier,1/1/2014,140101010,1/1/2014,12:29 AM,"Per lifeguards, illegal launch of jet ski",Field Interview
Bicyclist Stop,Lot 206,1/1/2014,140101013,1/1/2014,2:00 PM,,Field Interview
Indecent Exposure,North Torrey Pines Rd/La Jolla Shores Dr,1/1/2014,140101021,1/1/2014,5:13 PM,,Referred To Other Agency-San Diego Police
Suicide Attempt,Rita Atkinson Residences,1/1/2014,140101028,1/1/2014,8:22 PM,Subject made suicidal threats to girlfriend,Report Taken
Quiet Hours Contact,The Village West Bldg 6,1/23/2014,140123001,1/23/2014,12:03 AM,,Will Cooperate
Quiet Hours Contact,Sixth College Apartments,1/23/2014,140123004,1/23/2014,1:23 AM,,Information Only
Information,CAL IT2,1/23/2014,140123011,1/23/2014,5:32 AM,Flood alert,Referred To Other Agency
Security Alarm,Parking Department,1/23/2014,140123014,1/23/2014,6:49 AM,,False Alarm
Suspicious Person,Muir Commons-Pines,1/23/2014,140123024,1/23/2014,7:52 AM,,Unfounded
Information,UCSD Police Department,1/23/2014,140123044,1/23/2014,10:31 AM,Subject requesting information about resource classes for assault victims,Information Only
Skateboard Stop,Library Walk,1/23/2014,140123048,1/23/2014,10:47 AM,,Verbal Warning Issued
Medical Aid,UREY,1/23/2014,140123049,1/23/2014,11:28 AM,Subject complaining of abdominal pain,Transported To Hospital
Citizen Contact,UCTR 611,1/23/2014,140123051,1/23/2014,11:38 AM,Regarding suspicious phone calls,Information Only
Citizen Flagdown,Scholars Dr South/Revelle College Dr,1/23/2014,140123052,1/23/2014,12:09 PM,,Information Only
Medical Aid,Canyon Vista,1/23/2014,140123055,1/23/2014,12:33 PM,Subject complaining of severe abdominal pain,Transported To Hospital
Annoying/Harassing Phone Call,UCSD Campus,1/23/2014,2014-0119,1/22/2014,1:19 AM,Harassing text message,Report Taken
Suspicious Person,Sixth College Bldg 709,1/23/2014,140123061,1/23/2014,1:59 PM,Subject possibly casing bicycles,Unable To Locate
Security Alarm,East Campus Parking Structure,1/23/2014,140123062,1/23/2014,2:06 PM,,False Alarm
Petty Theft,Blake Hall,1/23/2014,2014-0120,1/22/2014-1/23/2014,Unknown,"Theft of bicycle, loss: $230.00",Report Taken
Citizen Flagdown,Lot 206,1/23/2014,140123073,1/23/2014,4:29 PM,,Information Only
Hit & Run No Injuries,Lot 303,1/23/2014,2014-0121,1/23/2014,11:00 AM-4:30 PM,"Vandalism to vehicle, damage: $400.00",Report Taken
Medical Aid,Sixth College Apartments,1/23/2014,140123077,1/23/2014,4:45 PM,Subject unconscious,Transported To Hospital
Citizen Contact,Hopkins Parking Structure,1/23/2014,140123083,1/23/2014,6:54 PM,Caller unable to locate vehicle,Vehicle Located
Marijuana Contact,Asante Hall,1/23/2014,140123092,1/23/2014,8:35 PM,Odor of marijuana in area,Unable To Locate
"Disturbance, Vehicle",Hopkins Parking Structure,1/23/2014,140123097,1/23/2014,10:03 PM,,Information Only
Quiet Hours Contact,Village East 3,1/23/2014,140123102,1/23/2014,10:56 PM,,Will Cooperate
Citizen Contact,Hopkins Parking Structure,1/23/2014,140123103,1/23/2014,11:10 PM,Two subjects appear to be living out of vehicle,Field Interview
Vandalism,Leichtag Biomedical Bldg,1/23/2014,2014-0122,1/23/2014,11:40 PM,"Shattered glass window, damage: $800.00",Report Taken
Theft Of Bicycle,1 Miramar,1/22/2014,2014-0124,1/13/2014-1/14/2014,7:00 PM-11:00 AM,Loss: $350.00,Online Report
Theft Of Bicycle,Skaggs School Of Pharmacy,1/23/2014,2014-0125,1/23/2014,2:15 PM-3:40 PM,Loss: $600.00,Online Report
Citizen Contact,The Village West Bldg 6,1/16/2014,140116001,1/16/2014,12:17 AM,Officer initiated stop,Will Cooperate
Drunk In Public,Bates Hall,1/16/2014,140116004,1/16/2014,1:33 AM,"Male shouting outside building, possibly has been drinking",Quiet On Arrival
Disturbance,Revelle Apartments,1/16/2014,140116005,1/16/2014,2:02 AM,Loud party,Will Cooperate
Suspicious Person,Price Center,1/16/2014,140116006,1/16/2014,2:13 AM,Sleeper on 3rd floor,Field Interview
Information,Tioga Hall,1/16/2014,140116007,1/16/2014,2:26 AM,Someone playing with laser in area,Unable To Locate
Citizen Contact,Blake Hall,1/16/2014,140116009,1/16/2014,3:31 AM,Sleeper,Checks OK
Gang Or Terrorist Threat,Central Mesa Apartments,1/16/2014,2014-0076,1/15/2014,11:00 PM,Threatening text messages,Report Taken
Unknown Event,Torrey Pines Center North,1/16/2014,2014-0078,1/15/2014/-1/16/2014,Unknown,,Report Taken
Non Injury Accident Report,Campus Service Complex Bldg G,1/16/2014,2014-0077,1/15/2014,Unknown,,Report Taken
Petty Theft,Library Walk,1/16/2014,140116035,1/16/2014,11:20 AM,,Information Only
Stolen Vehicle,Biomedical Sciences Bldg,1/16/2014,140116038,1/16/2014,1:12 PM,Golf cart,Found & Returned
Skateboard Stop,Price Center ATMS,1/16/2014,140116040,1/16/2014,1:32 PM,3 Trick Skaters,Gone On Arrival
Welfare Check,Gilman Dr/Eucalyptus Grove Ln,1/16/2014,140116042,1/16/2014,1:56 PM,Subject crying & screaming on sidewalk,Gone On Arrival
Injury,Ridgewalk,1/16/2014,2014-0080,1/16/2014,12:20 PM,"Bicyclist side swiped by other bicyclist, medical aid refused",Report Taken
Information,Rebecca & John Moores Cancer Center,1/16/2014,140116045,1/16/2014,2:28 PM,Subject causing disturbance with staff members,Information Only
Petty Theft,Bookstore,1/16/2014,2014-0079,1/16/2014,2:05 PM-2:25 PM,"Grand theft of bicycle, loss: $1,500.00",Report Taken
Missing Juvenile,Central Mesa Apartments,1/16/2014,140116048,1/16/2014,3:30 PM,,Checks OK
Welfare Check,Gilman Dr/Myers Dr,1/16/2016,140116049,1/16/2016,3:51 PM,"Electric wheelchair lost power, subject needs assistance",Referred To Other Agency-ADA
Citizen Contact,Shuttle Trailer,1/16/2014,140116052,1/16/2014,Unknown,"Traffic accident occurred off campus, no damage to shuttle bus, no report desired",Information Only
Petty Theft,Library Walk,1/16/2014,140116054,1/16/2014,5:11 PM,Possible petty theft suspect seen by Geisel Security,Unable To Locate
Fire Alarm,Robinson Complex Bldg 1,1/16/2014,2014-0081,1/16/2014,5:15 PM,Subject activated fire alarm pull station in absence of a fire,Report taken
Hit & Run No Injuries,Lot 208,1/16/2014,2014-0082,1/16/2014,8:00 AM-9:30 AM,Minor damage to vehicle bumper,Report Taken
Medical Aid,The Bistro,1/16/2014,140116058,1/16/2014,6:19 PM,Subject feeling dizzy and light headed,Transported To Hospital
Injury,Library Walk,1/16/2014,2014/0083,1/16/2014,6:20 PM,Skateboarder collided with pedestrian,Pedestrian Transported To Hospital
Suicide Attempt,La Jolla Shores Dr,1/16/2014,140116061,1/16/2014,7:53 PM,,Checks Ok
Marijuana Contact,Mesa Verde Hall,1/16/2014,140116066,1/16/2014,9:31 PM,Odor of marijuana in area,Information Only
Citizen Flagdown,Telemedicine Bldg,1/16/2014,140116067,1/16/2014,9:44 PM,,Information Only
Citizen Flagdown,Lot 207,1/16/2014,140116070,1/16/2014,10:22 PM,,Information Only
Disturbance,Sixth College,1/16/2014,140116071,1/16/2014,10:26 PM,Subject arguing with Resident Advisor,Unable To Locate
Citizen Contact,Rady School Of Management,1/16/2014,140116072,1/16/2014,11:44 PM,"Subject yelling and custodial staff member, unable to locate",Report Taken
Injury,Beagle,1/31/2014,2014-0167,1/31/2014,11:50 PM,Subject fell while jumping down stairs and sustained cut to eye lid,Transported To Hospital
Alcohol Contact,Marshall Res Halls,1/31/2014,140131002,1/31/2014,12:11 AM,,Information Only
Noise Disturbance,Sixth College Apartments,1/31/2014,140131003,1/31/2014,12:50 AM,Loud party,Information Only
Citizen Flagdown,Lot 103,1/31/2014,140131005,1/31/2014,1:34 AM,Tow truck driver needs directions,Information Only
Marijuana Contact,Marshall Res Halls,1/31/2014,140131007,1/31/2014,2:53 AM,Complaint of marijuana being smoked,Information Only
Suspicious Person,Sixth College Res Halls,1/31/2014,140131008,1/31/2014,3:14 AM,,Unable To Locate
Suspicious Person,Internal Medicine Group Bldg 4,1/31/2014,140131011,1/31/2014,6:22 AM,,Checks OK
Suspicious Person,1 Miramar Parking Structure,1/31/2014,140131014,1/31/2014,7:13 AM,,Unable To Locate
Suspicious Person,Humanities & Social Sciences,1/31/2014,140131019,1/31/2014,8:14 AM,,Gone On Arrival
Smoke Check,Engineering Bldg Unit 1,1/31/2014,140131021,1/31/2014,8:39 AM,Smell of smoke,Referred To Other Agency-EH&S/Fire Marshal
Security Alarm,Price Center,1/31/2014,140131022,1/31/2013,8:43 AM,,Checks OK
Petty Theft,Robert Paine Center,1/31/2014,2014-0176,1/31/2014,8:15 AM,Loss: $130.00,Report Taken
Vandalism,Mandeville Ln & Eucalyptus Ln,1/31/2014,2014-0177,1/23/2014-1/24/2014,Unknown,"3 small eucalyptus trees pulled out of ground, damage: $400.00",Report Taken
Security Alarm,Student Business Services,1/31/2014,140131036,1/31/2014,10:36 AM,,False Alarm
Unknown Trouble,Brennan Hall,1/31/2014,140131041,1/31/2014,11:46 AM,Report of female screaming,Unable To Locate
Fire Alarm,Pharmaceutical Sciences,1/31/2014,140131042,1/31/2014,12:20 PM,,False Alarm
Non Injury Accident,1 Miramar Parking Structure,1/31/2014,2014-0178,11/9/2013,1:00 PM,UC golf cart passenger door struck pillar,Report Taken
Security Alarm,Student Services Center,1/31/2014,140131052,1/31/2014,3:34 PM,,False Alarm
Alcohol Contact,Student Services Center,1/31/2014,2014-0179,1/31/2014,4:50 PM,Event: Bear Garden,Closed By Adult Arrest X2
Welfare Check,Student Services Center,1/31/2014,2014-0180,1/31/2014,6:10 PM,Public Intoxication,Transported To Detox
Security Alarm,Geisel Library,1/31/2014,1740131055,1/31/2014,6:28 PM,,False Alarm
Injury,Marshall Apartments East,1/31/2014,140131057,1/31/2014,7:05 PM,Subject cut finger while cooking,Medics Responded
Fire Alarm,North Mesa Apartments,1/31/2014,140131058,1/31/2014,7:42 PM,,False Alarm
Noise Disturbance,Geneva Hall,1/31/2014,140131063,1/31/2014,9:38 PM,Loud music and banging,Will Cooperate
Bicyclist Stop,Engineer Lane,1/10/2014,140110003,1/10/2014,12:11 AM,,Verbal Warning Issued
"Disturbance, Noise",The Village Building 2,1/10/2014,140110004,1/10/2014,12:36 AM,Loud video games,Will Cooperate
Alcohol Contact,Earl's Place,1/10/2014,2014-0037,1/10/2014,1:25 AM,Excessive alcohol,Transported to Hospital
"Disturbance, Noise",Marshall Apartments,1/10/2014,140110007,1/10/2014,1:51 AM,Loud drumming,Quiet on Arrival
Security Alarm,Torrey Pines Center South,1/10/2014,140110012,1/10/2014,7:03 AM,,False Alarm
Security Alarm,Isaacs Hall,1/10/2014,140110014,1/10/2014,7:06 AM,,False Alarm
Citizen Contact,Pepper Canyon Hall,1/10/2014,2014-0038,1/10/2014,10:17 AM,Emails received,Report Taken
Medical Aid,Rebecca and John Moores Cancer Center,1/10/2014,140110022,1/10/2014,10:30 AM,Experiencing chest pain,Transported to Hospital by Medics
"Disturbance, General",Blacks Beach Gate,1/10/2014,140110025,1/10/2014,12:49 PM,Subjects skating down hill,Will Cooperate
Found Property,Humanities and Social Sciences,1/10/2014,140110026,1/10/2014,1:12 PM,Found backpack,Information Only
Report of Hit and Run No Injuries,UCSD Medical Center,1/10/2014,2014-0039,1/9/2014,10:00 PM,,Report Taken
Citizen Contact,UCSD Police Department,1/10/2014,2014-0040,1/10/2014,2:52 PM,Threatening emails,Report Taken
Unknown Injury Accident,Central Mesa Apartments,1/10/2014,2014-0043,1/10/2014,7:00 PM,Vehicle crashed and hit a sign,Report Taken
Injury,Gilman Drive/Villa La Jolla Drive,1/10/2014,2014-0050,1/10/2014,8:56 PM,Subject fell while running,Transported to Hospital by Medics
Citizen Contact,Muir Apartments,1/10/2014,140110049,1/10/2014,9:32 PM,Smoking cigarettes,Information Only
Battery,Campus Point Drive/Medical Center Drive,1/10/2014,2014-0044,1/10/2014,10:25 PM - 10:35 PM,Subject struck nurse in the forearm,Report Taken
Vandalism,Mandeville Center,1/10/2014,2014-0055,1/10/2014,11:53 PM,Graffiti on west stairwell.  Estimated cost of damage:  $200.00,Report Taken
Noise Disturbance,The Village Bldg 6,1/7/2014,140107001,1/7/2014,12:15 AM,"Loud talking, laughing & yelling",Will Cooperate
Fire,Argo Hall,1/7/2014,2014-0018,1/7/2014,12:53 AM,small trash can fire,Report Taken
Assist Other Agency,Blacks Beach Gate,1/7/2014,140107004,1/7/2014,1:42 AM,Unlock gate for Customs,Information Only
Bicyclist Stop,Voigt Dr/Gilman Dr,1/7/2014,140107022,1/7/2014,10:42 AM,,Cited
Fraud,UCSD Campus,1/7/2014,140107024,1/7/2014,11:27 AM,Possible fraud emails,Information Only
Medical Aid,Radiation Oncology Center,1/7/2014,140107045,1/7/2014,3:08 PM,Patient has irregular breathing and irregular heart beat,Transported To Hospital
Citizen Flagdown,La Jolla Villa Dr-EB's Coffee Cart,1/7/2014,2014-0023,1/7/2014,3:11 PM,Battery,Report Taken
Medical Aid,Bookstore,1/7/2014,140107047,1/7/2014,3:34 PM,Subject having seizure,Gone On Arrival
Illegal Vendor/Solicitor,Muir Apartments,1/7/2014,140107048,1/7/2014,4:06 PM,,Gone On Arrival
Medical Aid,Peterson Hall,1/7/2014,140107054,1/7/2014,8:28 PM,Subject slumped over in chair,Transported To Hospital
Injury,Goody's,1/7/2014,140107055,1/7/2014,8:42 PM,Subject possibly injured leg after falling off bicycle,Transported To Hospital
Information,Natural Sciences Bldg,1/7/2014,140107058,1/7/2014,9:40 PM,Glass from broken bulbs in loading dock area,Referred To Other Agency
Citizen Contact,The Village Bldg 1,1/7/2014,140107060,1/7/2014,11:09 PM,Smoking on balcony,Will Cooperate
Citizen Contact,Great Hall,1/7/2014,140107061,1/7/2014,11:21 PM,Smoking,Information Only
Petty Theft,Geisel Library,1/7/2014,2014-0020,1/6/2014-1/7/2014,7:00:00 PM-12:00 AM,Loss: $1.00,Online Report
Alcohol/Quiet Hours Contact,Harlan Hall,1/7/2014,SC #00017-2014,1/4/2014,12:00 AM,,Information Only
Noise Disturbance,Frankfurter Hall,1/7/2014,SC #00023-2014,1/6/2014,7:30 PM,,Will Cooperate
Information,Frankfurter Hall,1/7/2014,SC #00024-2014,1/7/2014,3:55 AM,Odor of marijuana,Information Only
Noise Disturbance,Tioga Hall,1/28/2014,140128001,1/28/2014,12:54 AM,Loud talking,Quiet On Arrival
Drunk Driving No Injuries,Central Mesa Apartments,1/28/2014,2014-0148,1/28/2014,2:46 AM,,Closed By Adult Arrest
Reckless Driving,Douglas Hall,1/28/2014,140128011,1/28/2014,5:15 AM,Subject driving motorcycle thru Warren apartments,Field Interview
Fire Alarm,Mount Soledad Facility,1/28/2014,140128016,1/28/2014,7:03 AM,,False Alarm
Information,Humanities & Social Sciences,1/28/2014,140128023,1/28/2014,8:43 AM,Report of sleeper inside building,Information Only
Chemical Spill,Supercomputer Center,1/28/2014,140128037,1/28/2014,10:03 AM,1/2 gallon unidentified pink liquid leaking out of container,Referred To Other Agency-EH&S
Incomplete Wireless 911 Call,Revelle Plaza,1/28/2014,140128039,1/28/2014,10:13 AM,,Checks OK
Bicyclist Stop,Voigt Dr/Lyman Ln,1/28/2014,140128041,1/28/2014,10:31 AM,,Verbal Warning Issued
Bicyclist Stop,Voigt Dr/Engineer Ln,1/28/2014,140128042,1/28/2014,10:45 AM,,Verbal Warning Issued
Bicyclist Stop,Oceanview Terrace,1/28/2014,140128043,1/28/2014,10:51 AM,,Verbal Warning Issued
Bicyclist Stop,Lot 415,1/28/2014,140128045,1/28/2014,11:13 AM,,Verbal Warning Issued
